,area_type,availability,balcony,bath,latitude,location,longitude,price,size,society,total_sqft,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
13,Super built-up  Area,18-Nov,0.0,1.0,13.0044979, Thanisandra,77.66032309999999,25.25,1 RK,Bhe 2ko,510,3.0,Chinese Restaurant,Convenience Store,Café,Bakery,Indian Restaurant,Liquor Store,Dessert Shop,Department Store,Pizza Place,Bus Station
14,Super built-up  Area,Ready To Move,1.0,1.0,12.8496783,Electronic City,77.6649749,23.1,2 BHK,Itelaa ,660,3.0,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Coffee Shop,Café,Chinese Restaurant,Snack Place,Bakery,Sandwich Place
15,Super built-up  Area,17-Oct,2.0,2.0,12.9121916,Ramagondanahalli,77.5476337,48.77,2 BHK,ViistLa,1151,5.0,Indian Restaurant,Lake,Pizza Place,Department Store,Fast Food Restaurant,Gym,Bakery,Wine Bar,Flea Market,Farmers Market
16,Super built-up  Area,Ready To Move,1.0,2.0,12.9589475,Electronic City,77.65559301497998,47.0,3 BHK,KBityo ,1025,3.0,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Coffee Shop,Café,Chinese Restaurant,Snack Place,Bakery,Sandwich Place
17,Super built-up  Area,Ready To Move,1.0,2.0,19.2068473,Bisuvanahalli,72.8671534,35.0,3 BHK,Prityel,1075,3.0,Pharmacy,Hotel,Pizza Place,Indian Restaurant,Food Truck,Seafood Restaurant,Karnataka Restaurant,Fast Food Restaurant,Gas Station,Restaurant
18,Super built-up  Area,Ready To Move,2.0,2.0,12.9116225,Hebbal,77.63886219999998,123.0,3 BHK,Mahosya,1760,3.0,Indian Restaurant,Café,Gym,Farmers Market,Coffee Shop,Snack Place,Food Court,Ice Cream Shop,Vegetarian / Vegan Restaurant,Punjabi Restaurant
19,Super built-up  Area,Ready To Move,3.0,3.0,12.8529125,Raja Rajeshwari Nagar,77.6556155,57.39,3 BHK,GrrvaGr,1693,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
20,Super built-up  Area,21-Dec,1.0,2.0,12.89630025,Kanakpura Road,77.58941132510462,36.0,2 BHK,PrarePa,700,3.0,Indian Restaurant,Fast Food Restaurant,Bakery,Juice Bar,Seafood Restaurant,Snack Place,South Indian Restaurant,Lounge,Eastern European Restaurant,Furniture / Home Store
21,Super built-up  Area,Ready To Move,2.0,3.0,12.8742655,Kundalahalli,77.62601009999999,125.0,3 BHK,Dieldli,1724,2.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
22,Super built-up  Area,19-Dec,2.0,3.0,12.940615199999998,Sarjapur  Road,77.7469937,38.0,3 BHK,Soini T,1254,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
23,Super built-up  Area,Ready To Move,0.0,1.0,12.9089453,Ganga Nagar,77.6239038,38.0,1 BHK,Ceove G,600,2.0,Indian Restaurant,Shopping Mall,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
24,Super built-up  Area,Ready To Move,0.0,2.0,12.97695915,Doddathoguru,77.5123160731423,33.0,2 BHK,LancyRe,970,3.0,Breakfast Spot,Indian Restaurant,Pizza Place,Multiplex,Sandwich Place,Restaurant,Café,Chinese Restaurant,Dessert Shop,Nightclub
25,Super built-up  Area,20-Sep,1.0,2.0,12.9064601,Whitefield,77.663395,94.82,2 BHK,Goted U,1459,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
28,Built-up  Area,Ready To Move,2.0,3.0,12.8974283,Whitefield,77.5573828,91.0,3 BHK,Suent V,2010,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
29,Super built-up  Area,Ready To Move,2.0,2.0,12.995105300000002,Lakshminarayana Pura,77.6979517,75.0,2 BHK,RothaVa,1185,3.0,Fast Food Restaurant,Clothing Store,French Restaurant,Coffee Shop,Donut Shop,Café,Sporting Goods Shop,Asian Restaurant,Italian Restaurant,Shopping Mall
30,Super built-up  Area,Ready To Move,3.0,2.0,12.9781922,Yelahanka,77.72464509999998,75.0,3 BHK,NCowsar,1600,3.0,Restaurant,Indian Restaurant,Italian Restaurant,Coffee Shop,Lounge,Pizza Place,Chinese Restaurant,Donut Shop,Café,Fast Food Restaurant
31,Super built-up  Area,Ready To Move,2.0,2.0,12.186635699999998,Begur Road,77.0997954,44.0,2 BHK,Dhalsh ,1200,7.0,ATM,Wine Bar,Dumpling Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
32,Super built-up  Area,Ready To Move,2.0,2.0,12.3051828,Ramakrishnappa Layout,76.6553609,185.0,2 BHK,PeBayle,1500,3.0,Pharmacy,Shopping Mall,Historic Site,Indian Restaurant,Karnataka Restaurant,Gas Station,Palace,Chinese Restaurant,Hotel,Andhra Restaurant
33,Super built-up  Area,Ready To Move,1.0,2.0,17.443638699999994,Ganga Nagar,77.433391,55.0,2 BHK,Laavevi,845,2.0,Indian Restaurant,Shopping Mall,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
34,Plot  Area,Ready To Move,3.0,5.0,33.150896100000004,Whitefield,-109.2528495,650.0,4 Bedroom,Chranya,5700,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
35,Built-up  Area,Ready To Move,2.0,2.0,12.88159525,Varthur,77.60759947606418,44.0,2 BHK,HioraTr,1160,4.0,South Indian Restaurant,Lake,Bakery,Dumpling Restaurant,Indian Restaurant,Dessert Shop,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant
37,Super built-up  Area,20-Aug,1.0,2.0,21.2435389,Begur Road,73.1079204,80.58,2 BHK,Pruthg ,1358,7.0,ATM,Wine Bar,Dumpling Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
38,Super built-up  Area,Ready To Move,1.0,3.0,12.9985767,Hegde Nagar,77.76097159999998,101.0,3 BHK,Sonosty,1569,3.0,Bakery,Park,Indian Restaurant,Train Station,Platform,Playground,Bus Station,Wine Bar,Dry Cleaner,Farmers Market
40,Super built-up  Area,Ready To Move,2.0,3.0,12.8238977,Hennur Road,77.39113359999997,140.0,3 BHK,Anavi B,2089,5.0,Indian Restaurant,Bus Station,Café,Wine Bar,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
41,Built-up  Area,Ready To Move,3.0,3.0,12.9117472,Cholanayakanahalli,77.59184920000001,205.0,3 BHK,Viony H,2511,3.0,Bakery,Snack Place,Indian Restaurant,Department Store,Fast Food Restaurant,Diner,Juice Bar,Café,South Indian Restaurant,Wine Bar
42,Super built-up  Area,Ready To Move,2.0,2.0,14.077156900000002,Kodanda Reddy Layout,75.2124556,105.0,3 BHK,AdentEl,1660,1.0,Platform,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
43,Super built-up  Area,19-Mar,2.0,2.0,12.1417893,Yelahanka,76.6811633,78.0,2 BHK,Niareum,1326,3.0,Restaurant,Indian Restaurant,Italian Restaurant,Coffee Shop,Lounge,Pizza Place,Chinese Restaurant,Donut Shop,Café,Fast Food Restaurant
45,Super built-up  Area,17-Sep,2.0,2.0,12.8773486,Dasanapura,77.6028031,37.0,2 BHK,Tavenew,708,3.0,Restaurant,ATM,Department Store,Lake,Badminton Court,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market
46,Super built-up  Area,Ready To Move,2.0,2.0,13.0119095,Kasavanhalli,77.5438333,58.06,2 BHK,Srire S,1060,3.0,Food Truck,Asian Restaurant,Snack Place,Bakery,Temple,Park,Indian Restaurant,Historic Site,Fast Food Restaurant,Farmers Market
47,Built-up  Area,Ready To Move,2.0,2.0,12.869978,Sanjay nagar,77.65346009999998,70.0,2 BHK,Saenti ,1000,3.0,Business Service,Department Store,Tourist Information Center,Food Court,German Restaurant,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market
48,Super built-up  Area,17-Aug,3.0,2.0,12.7782588,Thanisandra,77.7712834,80.0,2 BHK,Bhmesy ,1296,4.0,South Indian Restaurant,Vegetarian / Vegan Restaurant,Train Station,Indian Restaurant,Restaurant,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market
51,Built-up  Area,Ready To Move,1.0,1.0,12.9876589,Chandapura,77.7377128,17.0,2 BHK,KHityry,650,3.0,Café,Indian Restaurant,Fast Food Restaurant,Pizza Place,Bookstore,Shopping Mall,BBQ Joint,Restaurant,Juice Bar,Bus Station
52,Plot  Area,Ready To Move,1.0,2.0,12.945245,Kothanur,77.6269144,150.0,3 Bedroom,BDensar,2400,5.0,Indian Restaurant,Department Store,Sporting Goods Shop,Chinese Restaurant,Bakery,Nightclub,Gym / Fitness Center,General Entertainment,Hotel,Dim Sum Restaurant
53,Super built-up  Area,Ready To Move,2.0,2.0,13.0297215,Green View Layout,76.9062385,43.0,2 BHK,Makeser,1007,5.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Flea Market,Café,Wine Bar,Dry Cleaner,Food,Fast Food Restaurant,Farmers Market,Falafel Restaurant
54,Super built-up  Area,Ready To Move,2.0,2.0,12.9562319,Shantiniketan Layout,77.60588800000002,50.0,2 BHK,Maest N,1200,0.0,Sporting Goods Shop,Hotel,Candy Store,Cosmetics Shop,Department Store,Eastern European Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant
55,Built-up  Area,Ready To Move,2.0,3.0,12.97516,Rajaji Nagar,77.77034029999999,229.0,3 BHK,Brway G,1640,3.0,Kitchen Supply Store,Bakery,Dumpling Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
56,Super built-up  Area,19-Apr,2.0,2.0,12.93204235,Devanahalli,77.58842733164356,66.78,2 BHK,Oznuean,1260,5.0,Indian Restaurant,Chinese Restaurant,Park,Pub,Café,Multiplex,Sandwich Place,Restaurant,Candy Store,Gym Pool
57,Super built-up  Area,Ready To Move,2.0,2.0,12.9232,Byatarayanapura,77.67325246972402,75.0,3 BHK,Reeroce,1413,3.0,Indian Restaurant,Café,Pizza Place,Fast Food Restaurant,Lounge,Food Court,Kerala Restaurant,Market,Bar,Multiplex
58,Super built-up  Area,Ready To Move,1.0,2.0,12.9327668,Whitefield,77.63564699999998,51.91,2 BHK,Sonviik,1116,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
59,Super built-up  Area,Ready To Move,1.0,2.0,13.0994854,Electronic City,77.8361008,45.9,3 BHK,DSgmax ,1530,3.0,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Coffee Shop,Café,Chinese Restaurant,Snack Place,Bakery,Sandwich Place
60,Built-up  Area,Ready To Move,2.0,3.0,12.9592694,Sarjapur  Road,77.5093895,140.0,3 Bedroom,Cetattu,2497,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
62,Super built-up  Area,Ready To Move,2.0,3.0,12.8514983,Thanisandra,77.62040970000002,120.0,3 BHK,Moity S,1427,4.0,South Indian Restaurant,Vegetarian / Vegan Restaurant,Train Station,Indian Restaurant,Restaurant,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market
63,Super built-up  Area,Ready To Move,1.0,3.0,13.0221416,Akshaya Nagar,77.6403368,200.0,3 BHK,HiahsLa,2061,3.0,Fast Food Restaurant,Ice Cream Shop,Indian Restaurant,Korean Restaurant,Brewery,Restaurant,BBQ Joint,Coffee Shop,Electronics Store,Café
64,Super built-up  Area,22-Dec,2.0,2.0,13.0467537,Devanahalli,77.6321873,68.52,3 BHK,Sabixtt,1282,5.0,Indian Restaurant,Chinese Restaurant,Park,Pub,Café,Multiplex,Sandwich Place,Restaurant,Candy Store,Gym Pool
66,Super built-up  Area,Ready To Move,1.0,2.0,13.0367725,Hormavu,77.65494790000002,78.0,2 BHK,SyidaCr,1500,0.0,Coffee Shop,Garden Center,Sports Club,Pharmacy,ATM,Historic Site,Donut Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
68,Plot  Area,Ready To Move,1.0,3.0,12.8889126,Sarjapur,77.65557159999999,75.0,3 Bedroom,Inensba,1600,3.0,IT Services,Breakfast Spot,Fast Food Restaurant,Seafood Restaurant,Badminton Court,Eastern European Restaurant,Food,Flea Market,Farmers Market,Falafel Restaurant
69,Super built-up  Area,Ready To Move,1.0,1.0,13.07463235,Electronic City,77.5048587415792,16.5,2 BHK,Itelaa ,880,3.0,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Coffee Shop,Café,Chinese Restaurant,Snack Place,Bakery,Sandwich Place
71,Built-up  Area,Ready To Move,1.0,2.0,12.7852528,Kanakpura Road,77.63809309999998,57.0,2 BHK,Wiowsri,950,3.0,Indian Restaurant,Fast Food Restaurant,Bakery,Juice Bar,Seafood Restaurant,Snack Place,South Indian Restaurant,Lounge,Eastern European Restaurant,Furniture / Home Store
72,Super built-up  Area,18-Aug,1.0,2.0,12.996525300000002,Devanahalli,77.5631963,65.0,2 BHK,Derdsig,1360,5.0,Indian Restaurant,Chinese Restaurant,Park,Pub,Café,Multiplex,Sandwich Place,Restaurant,Candy Store,Gym Pool
73,Super built-up  Area,19-Jan,2.0,2.0,12.95700205,Chandra Layout,77.721263077077,85.05,3 BHK,TiaksAa,1260,5.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Chinese Restaurant,Café,Donut Shop,Restaurant,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant
74,Super built-up  Area,19-Dec,1.0,5.0,13.0784743,Yelahanka,77.6068938,213.0,5 BHK,LedorSa,3050,3.0,Restaurant,Indian Restaurant,Italian Restaurant,Coffee Shop,Lounge,Pizza Place,Chinese Restaurant,Donut Shop,Café,Fast Food Restaurant
75,Super built-up  Area,17-Jul,1.0,2.0,13.0299868,Anandapura,77.574051,43.76,2 BHK,ViensRK,1167,3.0,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Chinese Restaurant,Pizza Place,Burger Joint,Italian Restaurant,Electronics Store,Sandwich Place,Restaurant
76,Super built-up  Area,Ready To Move,1.0,2.0,12.97695915,Bannerghatta Road,77.5123160731423,35.0,2 BHK,DSnjh S,1022,5.0,Indian Restaurant,Restaurant,Breakfast Spot,Lighthouse,Multicuisine Indian Restaurant,Bakery,Café,Wine Bar,Fast Food Restaurant,Farmers Market
77,Super built-up  Area,Ready To Move,1.0,2.0,12.920441,Abbigere,77.6653284,40.8,2 BHK,SLtias ,1020,0.0,Liquor Store,Department Store,Asian Restaurant,Bar,Café,Bowling Alley,Italian Restaurant,Hotel,Diner,Falafel Restaurant
78,Super built-up  Area,Ready To Move,2.0,4.0,12.816244300000001,Sarjapur  Road,77.6916113,242.0,4 BHK,Klark L,4395,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
79,Built-up  Area,Ready To Move,1.0,2.0,12.88159525,Bommasandra,77.60759947606418,25.0,2 BHK,ALoraAu,950,5.0,Indian Restaurant,South Indian Restaurant,Ice Cream Shop,Vegetarian / Vegan Restaurant,Coffee Shop,Women's Store,Snack Place,Flea Market,Fast Food Restaurant,Dumpling Restaurant
80,Super built-up  Area,Ready To Move,1.0,3.0,12.8301202,Hennur Road,77.6811699,131.0,3 BHK,SaireSa,1936,5.0,Indian Restaurant,Bus Station,Café,Wine Bar,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
81,Super built-up  Area,18-Apr,1.0,2.0,13.0258087,Hosur Road,77.6305067,93.0,2 BHK,PuendWe,1223,5.0,Indian Restaurant,BBQ Joint,Shopping Mall,Halal Restaurant,Liquor Store,Wine Bar,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
82,Super built-up  Area,Ready To Move,1.0,2.0,12.9123139,Whitefield,77.5491538511544,78.0,2 BHK,UKe 2nz,1495,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
83,Super built-up  Area,Ready To Move,3.0,2.0,13.036772500000001,JP Nagar,77.65494790000001,82.0,3 BHK,Adaveth,1500,0.0,Coffee Shop,Garden Center,Sports Club,Pharmacy,ATM,Historic Site,Donut Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
85,Super built-up  Area,Ready To Move,2.0,2.0,12.9985767,Whitefield,77.76097159999999,52.0,2 BHK,Suleyli,1270,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
86,Super built-up  Area,Ready To Move,3.0,2.0,13.054713000000001,Kumaraswami Layout,77.63392579999999,60.0,2 BHK,Shncyhi,1081,0.0,Hotel,Pharmacy,Karnataka Restaurant,Gas Station,Wine Bar,Dry Cleaner,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
88,Super built-up  Area,19-Jul,1.0,3.0,12.911747199999999,Kanakpura Road,77.59184920000001,118.0,3 BHK,Soazak ,1596,3.0,Indian Restaurant,Fast Food Restaurant,Bakery,Juice Bar,Seafood Restaurant,Snack Place,South Indian Restaurant,Lounge,Eastern European Restaurant,Furniture / Home Store
89,Super built-up  Area,Ready To Move,1.0,3.0,12.9064601,Horamavu Agara,77.663395,70.0,3 BHK,SKdesa ,1557,0.0,Dog Run,Trail,Food Truck,Grocery Store,Gym / Fitness Center,Spa,Dessert Shop,Dim Sum Restaurant,Flea Market,Coworking Space
90,Super built-up  Area,Ready To Move,1.0,4.0,13.0027852,Sarjapur  Road,77.624747,148.0,3 BHK,Puallhi,1984,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
91,Super built-up  Area,21-Dec,2.0,3.0,15.965797400000001,Thanisandra,78.2819069,112.0,4 BHK,Bhe 2ko,2259,4.0,South Indian Restaurant,Vegetarian / Vegan Restaurant,Train Station,Indian Restaurant,Restaurant,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market
92,Super built-up  Area,18-May,1.0,2.0,13.628577400000001,Electronic City Phase II,77.4642026,37.83,3 BHK,Sryalan,1310,5.0,Indian Restaurant,Coworking Space,Vegetarian / Vegan Restaurant,Basketball Court,Diner,Café,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant
94,Super built-up  Area,Ready To Move,2.0,3.0,13.038218400000002,Kothanur,77.5919,120.0,3 BHK,Somumys,1790,5.0,Indian Restaurant,Department Store,Sporting Goods Shop,Chinese Restaurant,Bakery,Nightclub,Gym / Fitness Center,General Entertainment,Hotel,Dim Sum Restaurant
95,Super built-up  Area,Ready To Move,2.0,3.0,12.7782588,Kenchenhalli,77.7712834,79.99,3 BHK,MasicCl,1786,4.0,South Indian Restaurant,Indian Restaurant,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
96,Super built-up  Area,19-Dec,1.0,3.0,32.2934563,Whitefield,-64.78236307254568,103.0,3 BHK,Oreldhi,1564,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
97,Super built-up  Area,18-May,1.0,3.0,13.0027353,Bommasandra,77.57032530000001,53.96,3 BHK,SSestth,1365,5.0,Indian Restaurant,South Indian Restaurant,Ice Cream Shop,Vegetarian / Vegan Restaurant,Coffee Shop,Women's Store,Snack Place,Flea Market,Fast Food Restaurant,Dumpling Restaurant
98,Super built-up  Area,Ready To Move,1.0,2.0,14.077156900000002,Choodasandra,75.2124556,50.0,2 BHK,GRhtiru,1115,1.0,Platform,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
99,Super built-up  Area,Ready To Move,1.0,2.0,12.9919033,Jalahalli East,77.7162015,42.48,2 BHK,ShshaSa,1020,2.0,Indian Restaurant,Bus Station,Wine Bar,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
100,Super built-up  Area,Ready To Move,3.0,2.0,12.988851499999999,BCMC Layout,77.7183672,72.0,3 BHK,Anair A,1369,5.0,Indian Restaurant,Coffee Shop,Italian Restaurant,Bus Station,Wine Bar,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market
101,Super built-up  Area,18-Aug,2.0,2.0,13.607362699999998,Whitefield,76.8036503,41.0,2 BHK,SSdhimr,1240,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
104,Super built-up  Area,Ready To Move,2.0,3.0,13.0280381,Jalahalli,77.72367690000002,115.0,3 BHK,Prarkll,1881,8.0,University,Café,Restaurant,Wine Bar,Donut Shop,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
105,Super built-up  Area,Ready To Move,2.0,2.0,12.955703,Jigani,77.53133290000001,49.5,2 BHK,DLhtsen,943,0.0,Coffee Shop,Ice Cream Shop,Seafood Restaurant,Asian Restaurant,Gym,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
107,Super built-up  Area,Ready To Move,2.0,2.0,12.8680242,Uttarahalli,77.5963734,56.12,3 BHK,Ayaya A,1290,0.0,Ice Cream Shop,Andhra Restaurant,Motorcycle Shop,Gym / Fitness Center,Clothing Store,Kerala Restaurant,Dim Sum Restaurant,Diner,Food,Flea Market
108,Super built-up  Area,Ready To Move,2.0,4.0,12.8899174,Malleshwaram,77.6396808,306.0,4 BHK,Apinaa ,2610,5.0,Indian Restaurant,Automotive Shop,Coffee Shop,Bus Station,Asian Restaurant,Auto Garage,BBQ Joint,Eastern European Restaurant,Food & Drink Shop,Food
109,Super built-up  Area,Ready To Move,2.0,3.0,12.9108661,Anandapura,77.5790454,58.7,3 BHK,ViensRK,1576,3.0,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Chinese Restaurant,Pizza Place,Burger Joint,Italian Restaurant,Electronics Store,Sandwich Place,Restaurant
110,Super built-up  Area,Ready To Move,1.0,6.0,13.019542699999999,Hebbal,77.6831272,440.0,4 BHK,Brium C,4000,3.0,Indian Restaurant,Café,Gym,Farmers Market,Coffee Shop,Snack Place,Food Court,Ice Cream Shop,Vegetarian / Vegan Restaurant,Punjabi Restaurant
111,Super built-up  Area,18-Jun,1.0,2.0,13.104198,Sarjapur  Road,77.61708490000001,74.03,2 BHK,PualeSk,1346,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
112,Super built-up  Area,Ready To Move,2.0,2.0,13.009855199999999,Hoodi,77.6930892,55.0,2 BHK,Sulla S,1181,5.0,Bus Station,Indian Restaurant,Flea Market,Mobile Phone Shop,Clothing Store,Wine Bar,Dumpling Restaurant,Fast Food Restaurant,Farmers Market,Falafel Restaurant
113,Super built-up  Area,Ready To Move,1.0,6.0,12.9243509,Sathya Sai Layout,77.6255562,660.0,4 BHK,Prowshi,6652,0.0,Convenience Store,Park,Tibetan Restaurant,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
