,area_type,availability,balcony,bath,latitude,location,longitude,price,size,society,total_sqft,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
153,Built-up  Area,Ready To Move,1.0,2.0,12.9274413,Doddathoguru,77.51552240000001,40.0,2 BHK,Srtasno,907,3.0,Breakfast Spot,Indian Restaurant,Pizza Place,Multiplex,Sandwich Place,Restaurant,Café,Chinese Restaurant,Dessert Shop,Nightclub
77,Super built-up  Area,Ready To Move,1.0,2.0,12.920441,Abbigere,77.6653284,40.8,2 BHK,SLtias ,1020,0.0,Liquor Store,Department Store,Asian Restaurant,Bar,Café,Bowling Alley,Italian Restaurant,Hotel,Diner,Falafel Restaurant
150,Built-up  Area,Ready To Move,1.0,2.0,12.995483199999999,Green View Layout,77.6208684,41.0,2 BHK,Makeser,1010,5.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Flea Market,Café,Wine Bar,Dry Cleaner,Food,Fast Food Restaurant,Farmers Market,Falafel Restaurant
99,Super built-up  Area,Ready To Move,1.0,2.0,12.9919033,Jalahalli East,77.7162015,42.48,2 BHK,ShshaSa,1020,2.0,Indian Restaurant,Bus Station,Wine Bar,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
136,Super built-up  Area,Ready To Move,2.0,2.0,12.9274413,Raja Rajeshwari Nagar,77.51552240000001,42.54,2 BHK,GrrvaGr,1255,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
53,Super built-up  Area,Ready To Move,2.0,2.0,13.0297215,Green View Layout,76.9062385,43.0,2 BHK,Makeser,1007,5.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Flea Market,Café,Wine Bar,Dry Cleaner,Food,Fast Food Restaurant,Farmers Market,Falafel Restaurant
31,Super built-up  Area,Ready To Move,2.0,2.0,12.186635699999998,Begur Road,77.0997954,44.0,2 BHK,Dhalsh ,1200,7.0,ATM,Wine Bar,Dumpling Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
35,Built-up  Area,Ready To Move,2.0,2.0,12.88159525,Varthur,77.60759947606418,44.0,2 BHK,HioraTr,1160,4.0,South Indian Restaurant,Lake,Bakery,Dumpling Restaurant,Indian Restaurant,Dessert Shop,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant
151,Built-up  Area,Ready To Move,2.0,2.0,12.930188099999999,Kaggadasapura,77.53783320000001,45.0,2 BHK,Mancya ,1150,5.0,Park,Indian Restaurant,Juice Bar,Tea Room,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
125,Super built-up  Area,Ready To Move,2.0,2.0,12.922544,Nobo Nagar,77.66334309999999,45.0,2 BHK,VRaceer,1200,0.0,Bowling Alley,Hotel,Liquor Store,Bar,Asian Restaurant,Eastern European Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant
59,Super built-up  Area,Ready To Move,1.0,2.0,13.0994854,Electronic City,77.8361008,45.9,3 BHK,DSgmax ,1530,3.0,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Coffee Shop,Café,Chinese Restaurant,Snack Place,Bakery,Sandwich Place
143,Super built-up  Area,Ready To Move,2.0,2.0,12.955257199999998,HSR Layout,77.69841629999999,46.0,2 BHK,NRosete,1140,5.0,Indian Restaurant,Clothing Store,Kerala Restaurant,Breakfast Spot,Lounge,Burger Joint,South Indian Restaurant,Ice Cream Shop,Vegetarian / Vegan Restaurant,Convenience Store
16,Super built-up  Area,Ready To Move,1.0,2.0,12.9589475,Electronic City,77.65559301497998,47.0,3 BHK,KBityo ,1025,3.0,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Coffee Shop,Café,Chinese Restaurant,Snack Place,Bakery,Sandwich Place
8,Super built-up  Area,Ready To Move,2.0,3.0,13.054713,Bisuvanahalli,77.63392579999999,48.0,3 BHK,Prityel,1180,3.0,Pharmacy,Hotel,Pizza Place,Indian Restaurant,Food Truck,Seafood Restaurant,Karnataka Restaurant,Fast Food Restaurant,Gas Station,Restaurant
105,Super built-up  Area,Ready To Move,2.0,2.0,12.955703,Jigani,77.53133290000001,49.5,2 BHK,DLhtsen,943,0.0,Coffee Shop,Ice Cream Shop,Seafood Restaurant,Asian Restaurant,Gym,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
116,Super built-up  Area,Ready To Move,2.0,2.0,12.9684441,Gottigere,77.7187843,50.0,2 BHK,i1ncyRe,1200,0.0,Hotel,Fast Food Restaurant,Sports Bar,Dessert Shop,Burger Joint,Bakery,Wine Bar,Eastern European Restaurant,Food,Flea Market
98,Super built-up  Area,Ready To Move,1.0,2.0,14.077156900000002,Choodasandra,75.2124556,50.0,2 BHK,GRhtiru,1115,1.0,Platform,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
54,Super built-up  Area,Ready To Move,2.0,2.0,12.9562319,Shantiniketan Layout,77.60588800000002,50.0,2 BHK,Maest N,1200,0.0,Sporting Goods Shop,Hotel,Candy Store,Cosmetics Shop,Department Store,Eastern European Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant
58,Super built-up  Area,Ready To Move,1.0,2.0,12.9327668,Whitefield,77.63564699999998,51.91,2 BHK,Sonviik,1116,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
85,Super built-up  Area,Ready To Move,2.0,2.0,12.9985767,Whitefield,77.76097159999999,52.0,2 BHK,Suleyli,1270,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
112,Super built-up  Area,Ready To Move,2.0,2.0,13.009855199999999,Hoodi,77.6930892,55.0,2 BHK,Sulla S,1181,5.0,Bus Station,Indian Restaurant,Flea Market,Mobile Phone Shop,Clothing Store,Wine Bar,Dumpling Restaurant,Fast Food Restaurant,Farmers Market,Falafel Restaurant
33,Super built-up  Area,Ready To Move,1.0,2.0,17.443638699999994,Ganga Nagar,77.433391,55.0,2 BHK,Laavevi,845,2.0,Indian Restaurant,Shopping Mall,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
107,Super built-up  Area,Ready To Move,2.0,2.0,12.8680242,Uttarahalli,77.5963734,56.12,3 BHK,Ayaya A,1290,0.0,Ice Cream Shop,Andhra Restaurant,Motorcycle Shop,Gym / Fitness Center,Clothing Store,Kerala Restaurant,Dim Sum Restaurant,Diner,Food,Flea Market
71,Built-up  Area,Ready To Move,1.0,2.0,12.7852528,Kanakpura Road,77.63809309999998,57.0,2 BHK,Wiowsri,950,3.0,Indian Restaurant,Fast Food Restaurant,Bakery,Juice Bar,Seafood Restaurant,Snack Place,South Indian Restaurant,Lounge,Eastern European Restaurant,Furniture / Home Store
19,Super built-up  Area,Ready To Move,3.0,3.0,12.8529125,Raja Rajeshwari Nagar,77.6556155,57.39,3 BHK,GrrvaGr,1693,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
46,Super built-up  Area,Ready To Move,2.0,2.0,13.0119095,Kasavanhalli,77.5438333,58.06,2 BHK,Srire S,1060,3.0,Food Truck,Asian Restaurant,Snack Place,Bakery,Temple,Park,Indian Restaurant,Historic Site,Fast Food Restaurant,Farmers Market
109,Super built-up  Area,Ready To Move,2.0,3.0,12.9108661,Anandapura,77.5790454,58.7,3 BHK,ViensRK,1576,3.0,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Chinese Restaurant,Pizza Place,Burger Joint,Italian Restaurant,Electronics Store,Sandwich Place,Restaurant
114,Super built-up  Area,Ready To Move,2.0,2.0,13.0701144,Maragondanahalli,77.6336218,59.0,2 BHK,ArnzaFi,1307,5.0,Pharmacy,Indian Restaurant,Flea Market,Asian Restaurant,Café,Donut Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
121,Super built-up  Area,Ready To Move,2.0,2.0,13.073014,Whitefield,77.79213809999999,59.0,3 BHK,SLiritn,1404,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
119,Super built-up  Area,Ready To Move,1.0,2.0,13.064967300000001,Electronics City Phase 1,77.56296570598985,60.0,2 BHK,Shitt S,1175,5.0,Indian Restaurant,Supermarket,Bakery,Lake,Wine Bar,Eastern European Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market
122,Built-up  Area,Ready To Move,2.0,2.0,13.439241699999998,HSR Layout,77.4890962,60.0,2 BHK,VaiewV ,1203,5.0,Indian Restaurant,Clothing Store,Kerala Restaurant,Breakfast Spot,Lounge,Burger Joint,South Indian Restaurant,Ice Cream Shop,Vegetarian / Vegan Restaurant,Convenience Store
9,Super built-up  Area,Ready To Move,3.0,3.0,12.93643855,Raja Rajeshwari Nagar,77.66698398914123,60.0,3 BHK,GrrvaGr,1540,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
86,Super built-up  Area,Ready To Move,3.0,2.0,13.054713000000001,Kumaraswami Layout,77.63392579999999,60.0,2 BHK,Shncyhi,1081,0.0,Hotel,Pharmacy,Karnataka Restaurant,Gas Station,Wine Bar,Dry Cleaner,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
133,Super built-up  Area,Ready To Move,3.0,3.0,12.9778951,Kanakpura Road,77.5164792,60.9,3 BHK,JRrnauv,1450,3.0,Indian Restaurant,Fast Food Restaurant,Bakery,Juice Bar,Seafood Restaurant,Snack Place,South Indian Restaurant,Lounge,Eastern European Restaurant,Furniture / Home Store
144,Super built-up  Area,Ready To Move,3.0,3.0,12.8889126,Raja Rajeshwari Nagar,77.65557159999999,64.86,3 BHK,GrrvaGr,1530,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
124,Plot  Area,Ready To Move,2.0,3.0,12.994260699999998,Chandapura,77.6666656,65.0,3 Bedroom,Upldsin,1200,3.0,Café,Indian Restaurant,Fast Food Restaurant,Pizza Place,Bookstore,Shopping Mall,BBQ Joint,Restaurant,Juice Bar,Bus Station
134,Super built-up  Area,Ready To Move,2.0,2.0,13.1478621,Kumarapalli,77.5693207,65.0,3 BHK,BMmesHo,1486,2.0,Indian Restaurant,Café,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
47,Built-up  Area,Ready To Move,2.0,2.0,12.869978,Sanjay nagar,77.65346009999998,70.0,2 BHK,Saenti ,1000,3.0,Business Service,Department Store,Tourist Information Center,Food Court,German Restaurant,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market
129,Built-up  Area,Ready To Move,0.0,2.0,12.9107463,Somasundara Palya,77.5728163,70.0,3 BHK,Srhts P,2300,0.0,Electronics Store,Hotel,Breakfast Spot,Mobile Phone Shop,Liquor Store,Buffet,Metro Station,Wine Bar,Flea Market,Fast Food Restaurant
89,Super built-up  Area,Ready To Move,1.0,3.0,12.9064601,Horamavu Agara,77.663395,70.0,3 BHK,SKdesa ,1557,0.0,Dog Run,Trail,Food Truck,Grocery Store,Gym / Fitness Center,Spa,Dessert Shop,Dim Sum Restaurant,Flea Market,Coworking Space
100,Super built-up  Area,Ready To Move,3.0,2.0,12.988851499999999,BCMC Layout,77.7183672,72.0,3 BHK,Anair A,1369,5.0,Indian Restaurant,Coffee Shop,Italian Restaurant,Bus Station,Wine Bar,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market
7,Super built-up  Area,Ready To Move,2.0,2.0,12.9176571,Mysore Road,77.4837568,73.5,2 BHK,PrntaEn,1175,3.0,Ice Cream Shop,Pizza Place,Dry Cleaner,Train Station,Café,ATM,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant
131,Super built-up  Area,Ready To Move,2.0,3.0,13.0135451,Kanakpura Road,77.66097909999999,74.9,3 BHK,PuandHi,1665,3.0,Indian Restaurant,Fast Food Restaurant,Bakery,Juice Bar,Seafood Restaurant,Snack Place,South Indian Restaurant,Lounge,Eastern European Restaurant,Furniture / Home Store
68,Plot  Area,Ready To Move,1.0,3.0,12.8889126,Sarjapur,77.65557159999999,75.0,3 Bedroom,Inensba,1600,3.0,IT Services,Breakfast Spot,Fast Food Restaurant,Seafood Restaurant,Badminton Court,Eastern European Restaurant,Food,Flea Market,Farmers Market,Falafel Restaurant
30,Super built-up  Area,Ready To Move,3.0,2.0,12.9781922,Yelahanka,77.72464509999998,75.0,3 BHK,NCowsar,1600,3.0,Restaurant,Indian Restaurant,Italian Restaurant,Coffee Shop,Lounge,Pizza Place,Chinese Restaurant,Donut Shop,Café,Fast Food Restaurant
29,Super built-up  Area,Ready To Move,2.0,2.0,12.995105300000002,Lakshminarayana Pura,77.6979517,75.0,2 BHK,RothaVa,1185,3.0,Fast Food Restaurant,Clothing Store,French Restaurant,Coffee Shop,Donut Shop,Café,Sporting Goods Shop,Asian Restaurant,Italian Restaurant,Shopping Mall
57,Super built-up  Area,Ready To Move,2.0,2.0,12.9232,Byatarayanapura,77.67325246972402,75.0,3 BHK,Reeroce,1413,3.0,Indian Restaurant,Café,Pizza Place,Fast Food Restaurant,Lounge,Food Court,Kerala Restaurant,Market,Bar,Multiplex
82,Super built-up  Area,Ready To Move,1.0,2.0,12.9123139,Whitefield,77.5491538511544,78.0,2 BHK,UKe 2nz,1495,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
66,Super built-up  Area,Ready To Move,1.0,2.0,13.0367725,Hormavu,77.65494790000002,78.0,2 BHK,SyidaCr,1500,0.0,Coffee Shop,Garden Center,Sports Club,Pharmacy,ATM,Historic Site,Donut Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
95,Super built-up  Area,Ready To Move,2.0,3.0,12.7782588,Kenchenhalli,77.7712834,79.99,3 BHK,MasicCl,1786,4.0,South Indian Restaurant,Indian Restaurant,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
139,Super built-up  Area,Ready To Move,2.0,3.0,22.72115965,Kathriguppe,75.83460914323051,80.99,3 BHK,Prone M,1350,5.0,Auto Garage,Indian Restaurant,Discount Store,Dumpling Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
83,Super built-up  Area,Ready To Move,3.0,2.0,13.036772500000001,JP Nagar,77.65494790000001,82.0,3 BHK,Adaveth,1500,0.0,Coffee Shop,Garden Center,Sports Club,Pharmacy,ATM,Historic Site,Donut Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
146,Super built-up  Area,Ready To Move,3.0,3.0,12.978192199999999,Dodda Nekkundi Extension,77.72464509999999,90.0,3 BHK,AlEcone,1975,3.0,Restaurant,Indian Restaurant,Italian Restaurant,Coffee Shop,Breakfast Spot,Shopping Mall,Food Court,Maharashtrian Restaurant,Lounge,Café
28,Built-up  Area,Ready To Move,2.0,3.0,12.8974283,Whitefield,77.5573828,91.0,3 BHK,Suent V,2010,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
127,Super built-up  Area,Ready To Move,2.0,3.0,11.2484748,Crimson Layout,77.4935891,95.0,3 BHK,ARntyne,1830,9.0,Clothing Store,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
152,Built-up  Area,Ready To Move,1.0,3.0,12.8773486,Raja Rajeshwari Nagar,77.6028031,98.0,3 BHK,Cedusy ,1850,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
118,Super built-up  Area,Ready To Move,1.0,2.0,12.9836336,Hebbal,77.7082815,98.0,2 BHK,Prersis,1349,3.0,Indian Restaurant,Café,Gym,Farmers Market,Coffee Shop,Snack Place,Food Court,Ice Cream Shop,Vegetarian / Vegan Restaurant,Punjabi Restaurant
38,Super built-up  Area,Ready To Move,1.0,3.0,12.9985767,Hegde Nagar,77.76097159999998,101.0,3 BHK,Sonosty,1569,3.0,Bakery,Park,Indian Restaurant,Train Station,Platform,Playground,Bus Station,Wine Bar,Dry Cleaner,Farmers Market
42,Super built-up  Area,Ready To Move,2.0,2.0,14.077156900000002,Kodanda Reddy Layout,75.2124556,105.0,3 BHK,AdentEl,1660,1.0,Platform,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
104,Super built-up  Area,Ready To Move,2.0,3.0,13.0280381,Jalahalli,77.72367690000002,115.0,3 BHK,Prarkll,1881,8.0,University,Café,Restaurant,Wine Bar,Donut Shop,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
94,Super built-up  Area,Ready To Move,2.0,3.0,13.038218400000002,Kothanur,77.5919,120.0,3 BHK,Somumys,1790,5.0,Indian Restaurant,Department Store,Sporting Goods Shop,Chinese Restaurant,Bakery,Nightclub,Gym / Fitness Center,General Entertainment,Hotel,Dim Sum Restaurant
62,Super built-up  Area,Ready To Move,2.0,3.0,12.8514983,Thanisandra,77.62040970000002,120.0,3 BHK,Moity S,1427,4.0,South Indian Restaurant,Vegetarian / Vegan Restaurant,Train Station,Indian Restaurant,Restaurant,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market
18,Super built-up  Area,Ready To Move,2.0,2.0,12.9116225,Hebbal,77.63886219999998,123.0,3 BHK,Mahosya,1760,3.0,Indian Restaurant,Café,Gym,Farmers Market,Coffee Shop,Snack Place,Food Court,Ice Cream Shop,Vegetarian / Vegan Restaurant,Punjabi Restaurant
21,Super built-up  Area,Ready To Move,2.0,3.0,12.8742655,Kundalahalli,77.62601009999999,125.0,3 BHK,Dieldli,1724,2.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
115,Super built-up  Area,Ready To Move,2.0,3.0,12.141789300000001,Ramagondanahalli,76.6811633,131.0,3 BHK,DNeremo,1910,5.0,Indian Restaurant,Lake,Pizza Place,Department Store,Fast Food Restaurant,Gym,Bakery,Wine Bar,Flea Market,Farmers Market
80,Super built-up  Area,Ready To Move,1.0,3.0,12.8301202,Hennur Road,77.6811699,131.0,3 BHK,SaireSa,1936,5.0,Indian Restaurant,Bus Station,Café,Wine Bar,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
141,Super built-up  Area,Ready To Move,2.0,3.0,13.0294483,Whitefield,80.2309064,139.0,3 BHK,BrlisCo,1760,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
40,Super built-up  Area,Ready To Move,2.0,3.0,12.8238977,Hennur Road,77.39113359999997,140.0,3 BHK,Anavi B,2089,5.0,Indian Restaurant,Bus Station,Café,Wine Bar,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
60,Built-up  Area,Ready To Move,2.0,3.0,12.9592694,Sarjapur  Road,77.5093895,140.0,3 Bedroom,Cetattu,2497,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
6,Plot  Area,Ready To Move,2.0,3.0,12.9778951,Sarjapur,77.5164792,148.0,3 Bedroom,Skityer,2250,3.0,IT Services,Breakfast Spot,Fast Food Restaurant,Seafood Restaurant,Badminton Court,Eastern European Restaurant,Food,Flea Market,Farmers Market,Falafel Restaurant
90,Super built-up  Area,Ready To Move,1.0,4.0,13.0027852,Sarjapur  Road,77.624747,148.0,3 BHK,Puallhi,1984,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
52,Plot  Area,Ready To Move,1.0,2.0,12.945245,Kothanur,77.6269144,150.0,3 Bedroom,BDensar,2400,5.0,Indian Restaurant,Department Store,Sporting Goods Shop,Chinese Restaurant,Bakery,Nightclub,Gym / Fitness Center,General Entertainment,Hotel,Dim Sum Restaurant
32,Super built-up  Area,Ready To Move,2.0,2.0,12.3051828,Ramakrishnappa Layout,76.6553609,185.0,2 BHK,PeBayle,1500,3.0,Pharmacy,Shopping Mall,Historic Site,Indian Restaurant,Karnataka Restaurant,Gas Station,Palace,Chinese Restaurant,Hotel,Andhra Restaurant
63,Super built-up  Area,Ready To Move,1.0,3.0,13.0221416,Akshaya Nagar,77.6403368,200.0,3 BHK,HiahsLa,2061,3.0,Fast Food Restaurant,Ice Cream Shop,Indian Restaurant,Korean Restaurant,Brewery,Restaurant,BBQ Joint,Coffee Shop,Electronics Store,Café
41,Built-up  Area,Ready To Move,3.0,3.0,12.9117472,Cholanayakanahalli,77.59184920000001,205.0,3 BHK,Viony H,2511,3.0,Bakery,Snack Place,Indian Restaurant,Department Store,Fast Food Restaurant,Diner,Juice Bar,Café,South Indian Restaurant,Wine Bar
55,Built-up  Area,Ready To Move,2.0,3.0,12.97516,Rajaji Nagar,77.77034029999999,229.0,3 BHK,Brway G,1640,3.0,Kitchen Supply Store,Bakery,Dumpling Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
78,Super built-up  Area,Ready To Move,2.0,4.0,12.816244300000001,Sarjapur  Road,77.6916113,242.0,4 BHK,Klark L,4395,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
154,Super built-up  Area,Ready To Move,1.0,5.0,12.91814255,Iblur Village,77.55767123770735,251.0,4 BHK,Emine P,3596,3.0,Coffee Shop,Snack Place,Department Store,Breakfast Spot,Convenience Store,Indian Restaurant,Accessories Store,Historic Site,Dumpling Restaurant,Hotel
10,Super built-up  Area,Ready To Move,2.0,4.0,13.054713,Ramakrishnappa Layout,77.63392579999999,290.0,3 BHK,PeBayle,2770,3.0,Pharmacy,Shopping Mall,Historic Site,Indian Restaurant,Karnataka Restaurant,Gas Station,Palace,Chinese Restaurant,Hotel,Andhra Restaurant
4,Plot  Area,Ready To Move,3.0,5.0,12.9116225,Whitefield,77.63886219999998,295.0,4 Bedroom,Prrry M,2785,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
108,Super built-up  Area,Ready To Move,2.0,4.0,12.8899174,Malleshwaram,77.6396808,306.0,4 BHK,Apinaa ,2610,5.0,Indian Restaurant,Automotive Shop,Coffee Shop,Bus Station,Asian Restaurant,Auto Garage,BBQ Joint,Eastern European Restaurant,Food & Drink Shop,Food
