,area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
48,Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0,12.9232,77.67325246972402,0.0,Indian Restaurant,Pizza Place,Café,Lounge,Bakery,Fast Food Restaurant,Market,Juice Bar,Multiplex,Japanese Restaurant
49,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91,12.932766800000001,77.63564699999999,3.0,Indian Restaurant,Café,Fast Food Restaurant,Department Store,Snack Place,Ice Cream Shop,Grocery Store,Bakery,Dessert Shop,Burger Joint
50,Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9,13.0994854,77.8361008,0.0,Indian Restaurant,Food Court,Café,Fast Food Restaurant,Coffee Shop,Restaurant,Bus Station,Pizza Place,Sandwich Place,Food
51,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,12.9592694,77.5093895,0.0,Indian Restaurant,Market,Andhra Restaurant,Café,Bakery,Breakfast Spot,Falafel Restaurant,Food & Drink Shop,Food,Flea Market
52,Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0,13.2923988,77.75192609999999,3.0,Restaurant,Sushi Restaurant,Café,Sandwich Place,Pub,Department Store,Italian Restaurant,Bar,Sports Bar,Pharmacy
53,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0,12.851498300000001,77.62040970000001,0.0,South Indian Restaurant,Indian Restaurant,Train Station,Restaurant,Wings Joint,Donut Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
54,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,200.0,13.0221416,77.6403368,3.0,Fast Food Restaurant,Ice Cream Shop,Indian Restaurant,Korean Restaurant,BBQ Joint,Italian Restaurant,Brewery,Restaurant,Electronics Store,Bistro
55,Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,13.0467537,77.6321873,0.0,Indian Restaurant,Chinese Restaurant,Breakfast Spot,Pub,Café,Bowling Alley,Women's Store,Restaurant,Bus Station,Candy Store
56,Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0,13.036772500000001,77.65494790000001,3.0,Pharmacy,ATM,Coffee Shop,Sports Club,Garden Center,Dumpling Restaurant,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
57,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,12.8889126,77.65557159999999,3.0,IT Services,Breakfast Spot,Fast Food Restaurant,Pool Hall,Badminton Court,Eastern European Restaurant,Flea Market,Fish Market,Farmers Market,Falafel Restaurant
58,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,13.07463235,77.5048587415792,0.0,Indian Restaurant,Food Court,Café,Fast Food Restaurant,Coffee Shop,Restaurant,Bus Station,Pizza Place,Sandwich Place,Food
59,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,12.7852528,77.63809309999999,0.0,Indian Restaurant,Coffee Shop,Italian Restaurant,Gym,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Ice Cream Shop,Andhra Restaurant,Brewery,Café
60,Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,12.996525300000002,77.5631963,0.0,Indian Restaurant,Chinese Restaurant,Breakfast Spot,Pub,Café,Bowling Alley,Women's Store,Restaurant,Bus Station,Candy Store
61,Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,12.95700205,77.721263077077,0.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Department Store,Chinese Restaurant,Restaurant,Donut Shop,Café,Wings Joint,Eastern European Restaurant,Fish Market
62,Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0,13.0784743,77.6068938,3.0,Indian Restaurant,Restaurant,Italian Restaurant,Lounge,Café,Maharashtrian Restaurant,Liquor Store,Shopping Mall,Department Store,Fast Food Restaurant
63,Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,13.0299868,77.574051,0.0,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Chinese Restaurant,Burger Joint,Sandwich Place,Pizza Place,Italian Restaurant,Park,Restaurant
